# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
1.257812500000000000e+00,1.404152713539348618e-01,1.045655377481120446e-01,9.983616090318458980e-02,1.007128018044445017e-01,1.400166241992384930e-01,9.823144363054948924e-02,1.034925145399338414e-01,1.048745316016948120e-01,1.372284297844377221e-01
1.617187500000000000e+00,1.352154323582514528e-01,1.003181118371420516e-01,9.533994324277136889e-02,9.643861067312384239e-02,1.334668222002199922e-01,9.394996649820461232e-02,9.790065055889403400e-02,9.998540732057330238e-02,1.310923786711887529e-01
1.976562500000000000e+00,1.265224488126575897e-01,9.451722922670509341e-02,8.992777651514033410e-02,9.122424475018842127e-02,1.261852888468241174e-01,8.949880664288974164e-02,9.278571218076241134e-02,9.372049788069530818e-02,1.240986515897732206e-01
2.335937500000000000e+00,1.155752000072310798e-01,8.824916502630884840e-02,8.482808245509468326e-02,8.549023130947287774e-02,1.155610848943024738e-01,8.419527617365323013e-02,8.643404241026338142e-02,8.750147956886249190e-02,1.138888783164308666e-01
2.695312500000000000e+00,1.042464870876592675e-01,8.164731028357774534e-02,7.917441533116990893e-02,7.964162210516434470e-02,1.039957911171680710e-01,7.824556061090794101e-02,7.987423737437482352e-02,8.126252578873389976e-02,1.020636054386337560e-01
3.054687500000000000e+00,8.972924384870091530e-02,7.472094810244932217e-02,7.285612340761804528e-02,7.346870887905916636e-02,9.117013745657487345e-02,7.247170351225190599e-02,7.341427638504494091e-02,7.514482605414943284e-02,9.016374963821127686e-02
3.414062500000000000e+00,7.662818932093938551e-02,6.774833020479900658e-02,6.639105799179885470e-02,6.710778765647082422e-02,7.729699251403206184e-02,6.639022997460387876e-02,6.730071908717577545e-02,6.734453742564194823e-02,7.727169356722636551e-02
3.773437500000000000e+00,6.269358500840531423e-02,6.079839315929842780e-02,6.077295563824753472e-02,6.107656539058236439e-02,6.365207701030829723e-02,6.118282046520446410e-02,6.021064229678668028e-02,6.104757851268936136e-02,6.481340182458626697e-02
4.132812500000000000e+00,5.077722434879086699e-02,5.422702626376733198e-02,5.460062701410524355e-02,5.467532755856125554e-02,5.137883886983483223e-02,5.529430208054061935e-02,5.428828659753144603e-02,5.439137074011717726e-02,5.269411764125828818e-02
4.492187500000000000e+00,3.996397566052413419e-02,4.881618344405217608e-02,4.907466726736068457e-02,5.000408740047917328e-02,4.081220370965159966e-02,5.025268111180480196e-02,4.839754638519732505e-02,4.847336985579503432e-02,4.180970083206133475e-02
4.851562500000000000e+00,3.041098155401326594e-02,4.336830361936748479e-02,4.377052576871635209e-02,4.375935675818487525e-02,3.139601204377281268e-02,4.525945894126263969e-02,4.280497515122608232e-02,4.318060519927913871e-02,3.279888611616853245e-02
5.210937500000000000e+00,2.275279584176286007e-02,3.811287785616337270e-02,3.843260725283978441e-02,3.918836691955039642e-02,2.383201228895719115e-02,4.023176232621426818e-02,3.765177936404842662e-02,3.811109685906388655e-02,2.515141869859663024e-02
5.570312500000000000e+00,1.640810401351757222e-02,3.332439649168981999e-02,3.381563819214789685e-02,3.465346233495530948e-02,1.724544507444825819e-02,3.583235188203674759e-02,3.308210183428383910e-02,3.339865208237448313e-02,1.877714617485169366e-02
5.929687500000000000e+00,1.160034870196273091e-02,2.886099695370373391e-02,2.938004234167025663e-02,3.063022361169336419e-02,1.233762114968388161e-02,3.144259642294100487e-02,2.875992692519194552e-02,2.873813862353147980e-02,1.403832279891826379e-02
6.289062500000000000e+00,8.019803130653643114e-03,2.489920844395460131e-02,2.614962341677958685e-02,2.699280283176935108e-02,8.773189531899809601e-03,2.762922968323821074e-02,2.489499396544895063e-02,2.511095959619587953e-02,9.926161626431104223e-03
6.648437500000000000e+00,5.617344432878456847e-03,2.143957186074510815e-02,2.282918505010239976e-02,2.310876810681391363e-02,5.935100298737640973e-03,2.428260482561998487e-02,2.141525904224141769e-02,2.147653057446376884e-02,6.872500727755060344e-03
7.007812500000000000e+00,3.751497912631635966e-03,1.832959335218166397e-02,1.966996883600853965e-02,1.993416471821410352e-02,3.945612231243532386e-03,2.134297452469458012e-02,1.822300656371796460e-02,1.876096093915344959e-02,4.634821702193815153e-03
7.367187500000000000e+00,2.605070295413285109e-03,1.569283301377594544e-02,1.707946928100787312e-02,1.731445889317556608e-02,2.727300945210240583e-03,1.862129725772958266e-02,1.554487222872200439e-02,1.638849691905632996e-02,2.948190947270539191e-03
