# distance__t_0.0,pdf__t_0.0,distance__t_2.499,pdf__t_2.499,distance__t_4.998,pdf__t_4.998,distance__t_7.5,pdf__t_7.5,distance__t_9.999,pdf__t_9.999
1.880962499999999996e-02,0.000000000000000000e+00,1.816873499999999808e+00,2.246007088680329611e-01,2.544148875000000309e+00,1.253364873581886418e-01,2.798963374999999587e+00,2.747377697587882195e-01,3.324902625000000000e+00,1.698365047826971563e-01
1.880963499999999816e-02,0.000000000000000000e+00,1.845135459999999838e+00,2.937086192889661884e-01,2.583106504999999942e+00,1.002691898865509107e-01,2.841617685000000115e+00,2.175007343923739955e-01,3.373777755000000322e+00,1.898172700512514854e-01
1.880964499999999984e-02,0.000000000000000000e+00,1.873397419999999869e+00,2.937086192889661884e-01,2.622064135000000462e+00,2.381393259805584250e-01,2.884271994999999755e+00,6.868444243969705487e-02,3.422652885000000200e+00,1.498557395141459081e-01
1.880965500000000151e-02,0.000000000000000000e+00,1.901659379999999899e+00,2.246007088680329611e-01,2.661021765000000094e+00,1.880047310372829628e-01,2.926926305000000283e+00,2.289481414656568403e-01,3.471528015000000522e+00,1.198845916113156357e-01
1.880966499999999972e-02,0.000000000000000000e+00,1.929921339999999930e+00,2.764316416837329093e-01,2.699979395000000171e+00,1.253364873581900574e-01,2.969580614999999923e+00,1.717111060992444205e-01,3.520403145000000400e+00,1.598461221484223094e-01
1.880967499999999792e-02,0.000000000000000000e+00,1.958183299999999960e+00,3.109855968942019655e-01,2.738937025000000247e+00,7.520189241491317955e-02,3.012234924999999564e+00,1.144740707328284202e-01,3.569278275000000278e+00,1.098942089770403308e-01
1.880968499999999960e-02,0.000000000000000000e+00,1.986445259999999990e+00,3.109855968941970805e-01,2.777894654999999879e+00,8.773554115073205206e-02,3.054889235000000092e+00,1.831585131725254612e-01,3.618153405000000156e+00,8.991344370848754208e-02
1.880969500000000127e-02,0.000000000000000000e+00,2.014707220000000021e+00,1.209388432366331340e-01,2.816852285000000400e+00,7.520189241491317955e-02,3.097543544999999732e+00,1.373688848793941097e-01,3.667028535000000034e+00,8.991344370848673717e-02
1.880970499999999948e-02,0.000000000000000000e+00,2.042969180000000051e+00,2.418776864732662679e-01,2.855809915000000032e+00,1.128028386223697693e-01,3.140197855000000260e+00,2.976325839053538536e-01,3.715903665000000355e+00,9.990382634276394336e-02
1.880971499999999769e-02,0.000000000000000000e+00,2.071231140000000082e+00,1.209388432366331340e-01,2.894767545000000553e+00,1.128028386223697693e-01,3.182852164999999900e+00,1.144740707328295998e-01,3.764778795000000233e+00,5.994229580565836601e-02
1.880972499999999936e-02,0.000000000000000000e+00,2.099493100000000112e+00,2.073237312627996543e-01,2.933725175000000185e+00,1.002691898865520487e-01,3.225506474999999540e+00,1.144740707328284202e-01,3.813653925000000555e+00,9.990382634276302742e-02
1.880973500000000104e-02,0.000000000000000000e+00,2.127755060000000142e+00,1.900467536575663752e-01,2.972682804999999817e+00,1.378701360940075005e-01,3.268160785000000068e+00,8.013184951297988579e-02,3.862529055000000433e+00,4.995191317138197168e-02
1.880974499999999924e-02,0.000000000000000000e+00,2.156017020000000173e+00,1.036618656313998271e-01,3.011640435000000338e+00,1.002691898865509107e-01,3.310815094999999708e+00,6.868444243969705487e-02,3.911404185000000311e+00,6.993267843993475341e-02
1.880975500000000092e-02,0.000000000000000000e+00,2.184278980000000203e+00,1.036618656313998271e-01,3.050598064999999970e+00,5.013459494327545535e-02,3.353469405000000236e+00,3.434222121984852744e-02,3.960279315000000189e+00,4.995191317138197168e-02
1.880976499999999912e-02,0.000000000000000000e+00,2.212540940000000234e+00,1.554927984470997615e-01,3.089555695000000490e+00,6.266824367909432092e-02,3.396123714999999876e+00,1.030266636595455754e-01,4.009154445000000067e+00,6.993267843993412891e-02
1.880977500000000080e-02,0.000000000000000000e+00,2.240802900000000264e+00,3.455395521046661367e-02,3.128513325000000123e+00,8.773554115073205206e-02,3.438778024999999960e+00,9.157925658626368814e-02,4.058029575000000833e+00,2.997114790282918301e-02
1.880978500000000248e-02,0.000000000000000000e+00,2.269064860000000294e+00,1.209388432366350352e-01,3.167470955000000199e+00,3.760094620745701999e-02,3.481432335000000045e+00,3.434222121984852744e-02,4.106904704999999822e+00,2.997114790282918301e-02
1.880979500000000068e-02,0.000000000000000000e+00,2.297326819999999881e+00,1.036618656313998271e-01,3.206428585000000275e+00,7.520189241491317955e-02,3.524086644999999685e+00,6.868444243969705487e-02,4.155779835000000588e+00,3.996153053710557734e-02
1.880980499999999889e-02,0.000000000000000000e+00,2.325588779999999911e+00,3.455395521046661367e-02,3.245386214999999908e+00,5.013459494327545535e-02,3.566740955000000213e+00,5.723703536641421008e-02,4.204654964999999578e+00,3.996153053710557734e-02
1.880981500000000056e-02,0.000000000000000000e+00,2.353850739999999941e+00,6.910791042093322734e-02,3.284343845000000428e+00,3.760094620745658978e-02,3.609395264999999853e+00,8.013184951297988579e-02,4.253530095000000344e+00,1.998076526855242438e-02
1.880982500000000224e-02,0.000000000000000000e+00,2.382112699999999972e+00,5.183093281569991356e-02,3.323301475000000060e+00,6.266824367909432092e-02,3.652049574999999937e+00,3.434222121984888132e-02,4.302405225000001110e+00,2.997114790282918301e-02
1.880983500000000044e-02,0.000000000000000000e+00,2.410374660000000002e+00,3.455395521046661367e-02,3.362259105000000581e+00,5.013459494327545535e-02,3.694703885000000021e+00,6.868444243969705487e-02,4.351280355000000100e+00,0.000000000000000000e+00
1.880984499999999865e-02,0.000000000000000000e+00,2.438636620000000033e+00,6.910791042093322734e-02,3.401216735000000213e+00,8.773554115073305126e-02,3.737358194999999661e+00,3.434222121984852744e-02,4.400155485000000866e+00,0.000000000000000000e+00
1.880985500000000032e-02,0.000000000000000000e+00,2.466898580000000063e+00,3.455395521046661367e-02,3.440174364999999845e+00,3.760094620745658978e-02,3.780012505000000189e+00,5.723703536641421008e-02,4.449030614999999855e+00,9.990382634276394336e-03
1.880986500000000200e-02,0.000000000000000000e+00,2.495160540000000093e+00,1.036618656313998271e-01,3.479131995000000366e+00,1.253364873581886384e-02,3.822666814999999829e+00,3.434222121984852744e-02,4.497905745000000621e+00,1.998076526855278867e-02
1.880987500000000021e-02,0.000000000000000000e+00,2.523422500000000124e+00,8.638488802616653417e-02,3.518089624999999998e+00,0.000000000000000000e+00,3.865321125000000357e+00,0.000000000000000000e+00,4.546780874999999611e+00,0.000000000000000000e+00
1.880988499999999841e-02,0.000000000000000000e+00,2.551684460000000154e+00,1.727697760523330683e-02,3.557047255000000519e+00,1.253364873581886384e-02,3.907975434999999997e+00,1.144740707328296102e-02,4.595656005000000377e+00,9.990382634276212190e-03
1.880989500000000009e-02,0.000000000000000000e+00,2.579946420000000185e+00,1.727697760523330683e-02,3.596004885000000151e+00,1.253364873581886384e-02,3.950629744999999637e+00,2.289481414656568264e-02,4.644531135000001143e+00,0.000000000000000000e+00
1.880990500000000176e-02,0.000000000000000000e+00,2.608208380000000215e+00,1.727697760523330683e-02,3.634962515000000227e+00,2.506729747163801217e-02,3.993284055000000166e+00,2.289481414656568264e-02,4.693406265000000133e+00,1.998076526855278867e-02
1.880991499999999997e-02,0.000000000000000000e+00,2.636470340000000245e+00,3.455395521046661367e-02,3.673920145000000304e+00,0.000000000000000000e+00,4.035938364999999806e+00,0.000000000000000000e+00,4.742281395000000899e+00,9.990382634276394336e-03
1.880992499999999817e-02,0.000000000000000000e+00,2.664732299999999832e+00,3.455395521046715490e-02,3.712877774999999936e+00,3.760094620745658978e-02,4.078592675000000334e+00,0.000000000000000000e+00,4.791156524999999888e+00,0.000000000000000000e+00
1.880993499999999985e-02,0.000000000000000000e+00,2.692994259999999862e+00,0.000000000000000000e+00,3.751835405000000456e+00,0.000000000000000000e+00,4.121246984999999974e+00,2.289481414656592204e-02,4.840031655000000654e+00,0.000000000000000000e+00
1.880994500000000152e-02,0.000000000000000000e+00,2.721256219999999892e+00,0.000000000000000000e+00,3.790793035000000089e+00,1.253364873581886384e-02,4.163901295000000502e+00,0.000000000000000000e+00,4.888906784999999644e+00,0.000000000000000000e+00
1.880995499999999973e-02,0.000000000000000000e+00,2.749518179999999923e+00,1.727697760523330683e-02,3.829750665000000609e+00,0.000000000000000000e+00,4.206555605000000142e+00,0.000000000000000000e+00,4.937781915000000410e+00,9.990382634276212190e-03
1.880996499999999794e-02,0.000000000000000000e+00,2.777780139999999953e+00,1.727697760523330683e-02,3.868708295000000241e+00,0.000000000000000000e+00,4.249209914999999782e+00,1.144740707328296102e-02,4.986657045000001176e+00,9.990382634276394336e-03
1.880997499999999961e-02,0.000000000000000000e+00,2.806042099999999984e+00,0.000000000000000000e+00,3.907665924999999874e+00,0.000000000000000000e+00,4.291864224999999422e+00,0.000000000000000000e+00,5.035532175000000166e+00,9.990382634276394336e-03
1.880998500000000129e-02,0.000000000000000000e+00,2.834304060000000014e+00,1.727697760523330683e-02,3.946623555000000394e+00,0.000000000000000000e+00,4.334518534999999950e+00,0.000000000000000000e+00,5.084407305000000932e+00,0.000000000000000000e+00
1.880999499999999949e-02,8.300781248609340983e+05,2.862566020000000044e+00,1.727697760523330683e-02,3.985581185000000026e+00,1.253364873581886384e-02,4.377172845000000478e+00,2.289481414656544325e-02,5.133282434999999921e+00,9.990382634276394336e-03
