# log(rho), p(log(rho))
3.284468225742257275e+00,8.796845043321371849e-03
3.298297565640119444e+00,8.511331180395948631e-03
3.312126905537981614e+00,8.426104545011995836e-03
3.325956245435843783e+00,8.339699080945638110e-03
3.339785585333705953e+00,8.048658596678031837e-03
3.353614925231568122e+00,7.955895360547558109e-03
3.367444265129430292e+00,7.862462058841555509e-03
3.381273605027292462e+00,7.903363079819199916e-03
3.395102944925154631e+00,7.877866821800538072e-03
3.408932284823016801e+00,7.647902155884841319e-03
3.422761624720878970e+00,7.618246254573707993e-03
3.436590964618741140e+00,7.656050185794174498e-03
3.450420304516603309e+00,7.422424675695401923e-03
3.464249644414465479e+00,7.252937041542083241e-03
3.478078984312326760e+00,7.285448157060853830e-03
3.491908324210188930e+00,7.183853759000851345e-03
3.505737664108051099e+00,7.147827392230998375e-03
3.519567004005913269e+00,6.839269545659507413e-03
3.533396343903775438e+00,6.662405774829113780e-03
3.547225683801637608e+00,6.618981493641293984e-03
3.561055023699499777e+00,6.575120119639928443e-03
3.574884363597361947e+00,6.530570567318779059e-03
3.588713703495224117e+00,6.485620997948202474e-03
3.602543043393086286e+00,6.439930500826864315e-03
3.616372383290948456e+00,6.258464552673854639e-03
3.630201723188810625e+00,5.802093826448894917e-03
3.644031063086672795e+00,5.678747945764607737e-03
3.657860402984534964e+00,5.554216434973745231e-03
3.671689742882397134e+00,5.496054122319017979e-03
3.685519082780259303e+00,5.367903195247675924e-03
3.699348422678121473e+00,5.375202725995079089e-03
3.713177762575983643e+00,4.975542242528879257e-03
3.727007102473845812e+00,4.636037421514790924e-03
3.740836442371707982e+00,4.564627773757176307e-03
3.754665782269570151e+00,4.629106183015602692e-03
3.768495122167432321e+00,4.560450637504478641e-03
3.782324462065294490e+00,4.485509070691381939e-03
3.796153801963156660e+00,4.478785155455104403e-03
3.809983141861018829e+00,4.472650442261855500e-03
3.823812481758880999e+00,4.466716492466072178e-03
3.837641821656743168e+00,4.460398812205791305e-03
3.851471161554604450e+00,4.453715015020219894e-03
3.865300501452466619e+00,4.379187567125748803e-03
3.879129841350328789e+00,4.168610195388680606e-03
