# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_0o75,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o5,average_velocity_axis_0_t_inf__params_1o0_0o25,average_velocity_axis_0_t_inf__params_1o0_4o0
4.244897959183672853e+00,1.806992548739834448e-01,3.076694879204336375e-01,1.102222185380968833e-01,3.190915129110012960e-01,2.370735075617234622e-01,3.261512274808447964e-01,6.979718396913280054e-02
4.408163265306122014e+00,1.807797555112415633e-01,3.037079238492638167e-01,1.108931008193417417e-01,3.147507406804197494e-01,2.357561976405741500e-01,3.209150163075729090e-01,7.037152880967706414e-02
4.571428571428571175e+00,1.806894642605891277e-01,2.994110182726427150e-01,1.114856808859573112e-01,3.100838128708573449e-01,2.341827666562620036e-01,3.154001380870255500e-01,7.093485916232644684e-02
4.734693877551020336e+00,1.804406724993689592e-01,2.948204333256361220e-01,1.120031503659267569e-01,3.051329947485283967e-01,2.323779773853070219e-01,3.096561529066058083e-01,7.148820843921283030e-02
4.897959183673468608e+00,1.800456716049239070e-01,2.899778311433098277e-01,1.124487008872333133e-01,2.999405515796476074e-01,2.303665926042290923e-01,3.037326208537164396e-01,7.203261005246799908e-02
5.061224489795917769e+00,1.795167529545967366e-01,2.849248738607295106e-01,1.128255240778602286e-01,2.945487486304293467e-01,2.281733750895480473e-01,2.976791020157598666e-01,7.256909741422379323e-02
5.224489795918366930e+00,1.788662079257302140e-01,2.797032236129615157e-01,1.131368115657906681e-01,2.889998511670880399e-01,2.258230876177838298e-01,2.915451564801394002e-01,7.309870393661202503e-02
5.387755102040816091e+00,1.781063278956671048e-01,2.743545425350708555e-01,1.133857549790078800e-01,2.833361244558381120e-01,2.233404929654563831e-01,2.853803443342576296e-01,7.362246303176450679e-02
5.551020408163265252e+00,1.772494042417502302e-01,2.689204927621241525e-01,1.135755459454950711e-01,2.775998337628943213e-01,2.207503539090856781e-01,2.792342256655174215e-01,7.414140811181307855e-02
5.714285714285713524e+00,1.763077283413223284e-01,2.634427364291867524e-01,1.137093760932354064e-01,2.718332443544711485e-01,2.180774332251915748e-01,2.731563605613217538e-01,7.465657258888955261e-02
