# log(rho), p(log(rho))
2.839624459027692005e+00,1.097234883089663326e-01
2.862673358857461992e+00,1.088081586260887107e-01
2.885722258687232866e+00,1.102087815790983860e-01
2.908771158517002853e+00,1.118869038950044692e-01
2.931820058346772839e+00,1.130096134398155816e-01
2.954868958176542826e+00,1.148272285903231688e-01
2.977917858006313701e+00,1.164138603698992303e-01
3.000966757836083687e+00,1.184644922890752683e-01
3.024015657665853674e+00,1.198296512502590172e-01
3.047064557495623660e+00,1.202220998750602593e-01
3.070113457325394535e+00,1.228031289646781404e-01
3.093162357155164521e+00,1.244280191990452117e-01
3.116211256984934508e+00,1.262535590314734779e-01
3.139260156814705383e+00,1.252448858990139746e-01
3.162309056644475369e+00,1.272407273099979419e-01
3.185357956474245356e+00,1.274825023673782920e-01
3.208406856304015342e+00,1.299138656227163124e-01
3.231455756133786217e+00,1.321957376325205713e-01
3.254504655963556203e+00,1.369727634452465870e-01
3.277553555793326190e+00,1.344701220001416342e-01
3.300602455623096176e+00,1.346994539408938318e-01
3.323651355452867051e+00,1.362938632074490730e-01
3.346700255282637038e+00,1.371078395887357082e-01
3.369749155112407024e+00,1.380299404354567716e-01
3.392798054942177899e+00,1.380854795446959382e-01
3.415846954771947885e+00,1.392722592907022494e-01
3.438895854601718760e+00,1.424560820361045199e-01
3.461944754431487858e+00,1.428004052609269658e-01
3.484993654261258733e+00,1.451032278323546032e-01
3.508042554091027831e+00,1.455200940573256885e-01
3.531091453920798706e+00,1.488890488535734857e-01
3.554140353750569581e+00,1.503130262755442426e-01
3.577189253580338679e+00,1.528622727955616378e-01
3.600238153410109554e+00,1.525457555008187249e-01
3.623287053239880429e+00,1.532340287470863871e-01
3.646335953069649527e+00,1.539628492259005055e-01
3.669384852899420402e+00,1.557940143377363473e-01
3.692433752729191276e+00,1.598192585005373256e-01
3.715482652558960375e+00,1.639583028266560494e-01
3.738531552388731249e+00,1.656327593351967775e-01
3.761580452218500348e+00,1.650236125215928662e-01
3.784629352048271222e+00,1.637996527988938300e-01
3.807678251878042097e+00,1.646229413362737259e-01
3.830727151707811196e+00,1.648537145327804709e-01
3.853776051537582070e+00,1.662156250752549469e-01
3.876824951367352945e+00,1.677952532088531623e-01
3.899873851197122043e+00,1.695498629188036677e-01
3.922922751026892918e+00,1.713136289658912514e-01
3.945971650856662016e+00,1.722399822476178566e-01
3.969020550686432891e+00,1.732295177914998929e-01
3.992069450516203766e+00,1.742423758670670064e-01
4.015118350345972864e+00,1.752949728785946071e-01
4.038167250175743739e+00,1.763785502475887501e-01
4.061216150005514613e+00,1.764869061008387252e-01
4.084265049835283712e+00,1.737024712703623686e-01
4.107313949665054587e+00,1.728112501624003428e-01
4.130362849494825461e+00,1.708792826487371130e-01
4.153411749324594560e+00,1.718667393264848298e-01
4.176460649154365434e+00,1.728926248119428133e-01
4.199509548984134533e+00,1.768829022826262642e-01
4.222558448813905407e+00,1.780681724598706661e-01
4.245607348643676282e+00,1.772844492687618290e-01
4.268656248473445380e+00,1.765370888456263276e-01
4.291705148303216255e+00,1.784656315581859276e-01
4.314754048132987130e+00,1.777284455676462205e-01
4.337802947962756228e+00,1.779603816967459395e-01
4.360851847792527103e+00,1.820960284602863577e-01
4.383900747622297978e+00,1.814574107614571608e-01
4.406949647452067076e+00,1.827558398266419248e-01
4.429998547281837951e+00,1.870049250156358700e-01
4.453047447111607049e+00,1.884204268088364442e-01
4.476096346941377924e+00,1.898808148643182925e-01
4.499145246771148798e+00,1.923648244590149547e-01
4.522194146600917897e+00,1.909963450502951687e-01
4.545243046430688771e+00,1.905464994824273561e-01
4.568291946260459646e+00,1.920771891567897571e-01
4.591340846090228744e+00,1.906808349129986424e-01
4.614389745919999619e+00,1.902417767707715313e-01
4.637438645749770494e+00,1.888051750535974793e-01
4.660487545579539592e+00,1.844525666941149722e-01
4.683536445409310467e+00,1.877837071802918034e-01
4.706585345239079565e+00,1.902089231602833719e-01
4.729634245068850440e+00,1.917246721434708312e-01
4.752683144898621315e+00,1.932526553610841580e-01
4.775732044728390413e+00,1.948585337908324000e-01
4.798780944558161288e+00,1.945171927446340543e-01
4.821829844387932162e+00,1.912579633209889884e-01
4.844878744217701261e+00,1.918370671466919919e-01
4.867927644047472135e+00,1.904679089194801778e-01
4.890976543877243010e+00,1.909800658939201923e-01
4.914025443707012109e+00,1.924962704264865376e-01
4.937074343536782983e+00,1.950353093864966303e-01
4.960123243366552082e+00,1.937735160680358060e-01
4.983172143196322956e+00,1.953674597065295782e-01
5.006221043026093831e+00,1.989424810143419764e-01
5.029269942855862929e+00,1.996983149367890786e-01
5.052318842685633804e+00,1.975191692133439203e-01
5.075367742515404679e+00,1.962951565155578726e-01
5.098416642345173777e+00,1.930951943186378639e-01
5.121465542174944652e+00,1.946705147038823580e-01
5.144514442004715526e+00,1.972668612287120093e-01
5.167563341834484625e+00,1.999109471746238209e-01
