# distance__t_0.0,pdf__t_0.0,distance__t_0.384,pdf__t_0.384,distance__t_0.765,pdf__t_0.765,distance__t_1.146,pdf__t_1.146,distance__t_1.53,pdf__t_1.53
8.857268434194847107e-01,3.616822494936450944e-02,8.857268434194847107e-01,3.616822494936450944e-02,8.857268434194847107e-01,3.616822494936450944e-02,8.857268434194847107e-01,3.616822494936450944e-02,8.857268434194847107e-01,3.616822494936450944e-02
8.882683838597128512e-01,3.487002585157484430e-02,8.882683838597128512e-01,3.487002585157484430e-02,8.882683838597128512e-01,3.487002585157484430e-02,8.882683838597128512e-01,3.487002585157484430e-02,8.882683838597128512e-01,3.487002585157484430e-02
8.908099242999408807e-01,3.398096956995291101e-02,8.908099242999408807e-01,3.398096956995291101e-02,8.908099242999408807e-01,3.398096956995291101e-02,8.908099242999408807e-01,3.398096956995291101e-02,8.908099242999408807e-01,3.398096956995291101e-02
8.933514647401690212e-01,3.301745666772935156e-02,8.933514647401690212e-01,3.301745666772935156e-02,8.933514647401690212e-01,3.301745666772935156e-02,8.933514647401690212e-01,3.301745666772935156e-02,8.933514647401690212e-01,3.301745666772935156e-02
8.958930051803970507e-01,3.226994168467553492e-02,8.958930051803970507e-01,3.226994168467553492e-02,8.958930051803970507e-01,3.226994168467553492e-02,8.958930051803970507e-01,3.226994168467553492e-02,8.958930051803970507e-01,3.226994168467553492e-02
8.984345456206250802e-01,3.138899453994927619e-02,8.984345456206250802e-01,3.138899453994927619e-02,8.984345456206250802e-01,3.138899453994927619e-02,8.984345456206250802e-01,3.138899453994927619e-02,8.984345456206250802e-01,3.138899453994927619e-02
9.009760860608532207e-01,3.075427027919070203e-02,9.009760860608532207e-01,3.075427027919070203e-02,9.009760860608532207e-01,3.075427027919070203e-02,9.009760860608532207e-01,3.075427027919070203e-02,9.009760860608532207e-01,3.075427027919070203e-02
9.035176265010813612e-01,2.998390227396972169e-02,9.035176265010813612e-01,2.998390227396972169e-02,9.035176265010813612e-01,2.998390227396972169e-02,9.035176265010813612e-01,2.998390227396972169e-02,9.035176265010813612e-01,2.998390227396972169e-02
9.060591669413093907e-01,2.934401765336751289e-02,9.060591669413093907e-01,2.934401765336751289e-02,9.060591669413093907e-01,2.934401765336751289e-02,9.060591669413093907e-01,2.934401765336751289e-02,9.060591669413093907e-01,2.934401765336751289e-02
9.086007073815374202e-01,2.870560742129073251e-02,9.086007073815374202e-01,2.870560742129073251e-02,9.086007073815374202e-01,2.870560742129073251e-02,9.086007073815374202e-01,2.870560742129073251e-02,9.086007073815374202e-01,2.870560742129073251e-02
9.111422478217654497e-01,2.799937531698286353e-02,9.111422478217654497e-01,2.799937531698286353e-02,9.111422478217654497e-01,2.799937531698286353e-02,9.111422478217654497e-01,2.799937531698286353e-02,9.111422478217654497e-01,2.799937531698286353e-02
9.136837882619935902e-01,2.749660882936703563e-02,9.136837882619935902e-01,2.749660882936703563e-02,9.136837882619935902e-01,2.749660882936703563e-02,9.136837882619935902e-01,2.749660882936703563e-02,9.136837882619935902e-01,2.749660882936703563e-02
9.162253287022217307e-01,2.671370852166893989e-02,9.162253287022217307e-01,2.671370852166893989e-02,9.162253287022217307e-01,2.671370852166893989e-02,9.162253287022217307e-01,2.671370852166893989e-02,9.162253287022217307e-01,2.671370852166893989e-02
9.187668691424497602e-01,2.603401541084470958e-02,9.187668691424497602e-01,2.603401541084470958e-02,9.187668691424497602e-01,2.603401541084470958e-02,9.187668691424497602e-01,2.603401541084470958e-02,9.187668691424497602e-01,2.603401541084470958e-02
9.213084095826777897e-01,2.537791251644598914e-02,9.213084095826777897e-01,2.537791251644598914e-02,9.213084095826777897e-01,2.537791251644598914e-02,9.213084095826777897e-01,2.537791251644598914e-02,9.213084095826777897e-01,2.537791251644598914e-02
9.238499500229059302e-01,2.472475839910295153e-02,9.238499500229059302e-01,2.472475839910295153e-02,9.238499500229059302e-01,2.472475839910295153e-02,9.238499500229059302e-01,2.472475839910295153e-02,9.238499500229059302e-01,2.472475839910295153e-02
9.263914904631339597e-01,2.427801867550187856e-02,9.263914904631339597e-01,2.427801867550187856e-02,9.263914904631339597e-01,2.427801867550187856e-02,9.263914904631339597e-01,2.427801867550187856e-02,9.263914904631339597e-01,2.427801867550187856e-02
9.289330309033621003e-01,2.394038370287824083e-02,9.289330309033621003e-01,2.394038370287824083e-02,9.289330309033621003e-01,2.394038370287824083e-02,9.289330309033621003e-01,2.394038370287824083e-02,9.289330309033621003e-01,2.394038370287824083e-02
9.314745713435901298e-01,2.348111167680095798e-02,9.314745713435901298e-01,2.348111167680095798e-02,9.314745713435901298e-01,2.348111167680095798e-02,9.314745713435901298e-01,2.348111167680095798e-02,9.314745713435901298e-01,2.348111167680095798e-02
9.340161117838181593e-01,2.330123627653811827e-02,9.340161117838181593e-01,2.330123627653811827e-02,9.340161117838181593e-01,2.330123627653811827e-02,9.340161117838181593e-01,2.330123627653811827e-02,9.340161117838181593e-01,2.330123627653811827e-02
9.365576522240462998e-01,2.351207383586241539e-02,9.365576522240462998e-01,2.351207383586241539e-02,9.365576522240462998e-01,2.351207383586241539e-02,9.365576522240462998e-01,2.351207383586241539e-02,9.365576522240462998e-01,2.351207383586241539e-02
9.390991926642744403e-01,2.189835559334867357e-02,9.390991926642744403e-01,2.189835559334867357e-02,9.390991926642744403e-01,2.189835559334867357e-02,9.390991926642744403e-01,2.189835559334867357e-02,9.390991926642744403e-01,2.189835559334867357e-02
9.416407331045024698e-01,2.151280299360810999e-02,9.416407331045024698e-01,2.151280299360810999e-02,9.416407331045024698e-01,2.151280299360810999e-02,9.416407331045024698e-01,2.151280299360810999e-02,9.416407331045024698e-01,2.151280299360810999e-02
9.441822735447304993e-01,2.110955773154575207e-02,9.441822735447304993e-01,2.110955773154575207e-02,9.441822735447304993e-01,2.110955773154575207e-02,9.441822735447304993e-01,2.110955773154575207e-02,9.441822735447304993e-01,2.110955773154575207e-02
9.467238139849585288e-01,2.081246844340749885e-02,9.467238139849585288e-01,2.081246844340749885e-02,9.467238139849585288e-01,2.081246844340749885e-02,9.467238139849585288e-01,2.081246844340749885e-02,9.467238139849585288e-01,2.081246844340749885e-02
9.492653544251866693e-01,2.076381362202611019e-02,9.492653544251866693e-01,2.076381362202611019e-02,9.492653544251866693e-01,2.076381362202611019e-02,9.492653544251866693e-01,2.076381362202611019e-02,9.492653544251866693e-01,2.076381362202611019e-02
9.518068948654148098e-01,2.072326793753996241e-02,9.518068948654148098e-01,2.072326793753996241e-02,9.518068948654148098e-01,2.072326793753996241e-02,9.518068948654148098e-01,2.072326793753996241e-02,9.518068948654148098e-01,2.072326793753996241e-02
9.543484353056428393e-01,2.022050144992381532e-02,9.543484353056428393e-01,2.022050144992381532e-02,9.543484353056428393e-01,2.022050144992381532e-02,9.543484353056428393e-01,2.022050144992381532e-02,9.543484353056428393e-01,2.022050144992381532e-02
9.568899757458708688e-01,1.935134941341197512e-02,9.568899757458708688e-01,1.935134941341197512e-02,9.568899757458708688e-01,1.935134941341197512e-02,9.568899757458708688e-01,1.935134941341197512e-02,9.568899757458708688e-01,1.935134941341197512e-02
9.594315161860990093e-01,1.853601255812769091e-02,9.594315161860990093e-01,1.853601255812769091e-02,9.594315161860990093e-01,1.853601255812769091e-02,9.594315161860990093e-01,1.853601255812769091e-02,9.594315161860990093e-01,1.853601255812769091e-02
9.619730566263270388e-01,1.787769808093997437e-02,9.619730566263270388e-01,1.787769808093997437e-02,9.619730566263270388e-01,1.787769808093997437e-02,9.619730566263270388e-01,1.787769808093997437e-02,9.619730566263270388e-01,1.787769808093997437e-02
9.645145970665551793e-01,1.713829223478101349e-02,9.645145970665551793e-01,1.713829223478101349e-02,9.645145970665551793e-01,1.713829223478101349e-02,9.645145970665551793e-01,1.713829223478101349e-02,9.645145970665551793e-01,1.713829223478101349e-02
9.670561375067832088e-01,1.668639215133711079e-02,9.670561375067832088e-01,1.668639215133711079e-02,9.670561375067832088e-01,1.668639215133711079e-02,9.670561375067832088e-01,1.668639215133711079e-02,9.670561375067832088e-01,1.668639215133711079e-02
9.695976779470112383e-01,1.643132293621102705e-02,9.695976779470112383e-01,1.643132293621102705e-02,9.695976779470112383e-01,1.643132293621102705e-02,9.695976779470112383e-01,1.643132293621102705e-02,9.695976779470112383e-01,1.643132293621102705e-02
9.721392183872393788e-01,1.612612451117734907e-02,9.721392183872393788e-01,1.612612451117734907e-02,9.721392183872393788e-01,1.612612451117734907e-02,9.721392183872393788e-01,1.612612451117734907e-02,9.721392183872393788e-01,1.612612451117734907e-02
9.746807588274675194e-01,1.561303730387246340e-02,9.746807588274675194e-01,1.561303730387246340e-02,9.746807588274675194e-01,1.561303730387246340e-02,9.746807588274675194e-01,1.561303730387246340e-02,9.746807588274675194e-01,1.561303730387246340e-02
9.772222992676955489e-01,1.523706822955541232e-02,9.772222992676955489e-01,1.523706822955541232e-02,9.772222992676955489e-01,1.523706822955541232e-02,9.772222992676955489e-01,1.523706822955541232e-02,9.772222992676955489e-01,1.523706822955541232e-02
9.797638397079235784e-01,1.497020390621615557e-02,9.797638397079235784e-01,1.497020390621615557e-02,9.797638397079235784e-01,1.497020390621615557e-02,9.797638397079235784e-01,1.497020390621615557e-02,9.797638397079235784e-01,1.497020390621615557e-02
9.823053801481516079e-01,1.449766238339656767e-02,9.823053801481516079e-01,1.449766238339656767e-02,9.823053801481516079e-01,1.449766238339656767e-02,9.823053801481516079e-01,1.449766238339656767e-02,9.823053801481516079e-01,1.449766238339656767e-02
9.848469205883797484e-01,1.418435482146575451e-02,9.848469205883797484e-01,1.418435482146575451e-02,9.848469205883797484e-01,1.418435482146575451e-02,9.848469205883797484e-01,1.418435482146575451e-02,9.848469205883797484e-01,1.418435482146575451e-02
9.873884610286078889e-01,1.369633221911546912e-02,9.873884610286078889e-01,1.369633221911546912e-02,9.873884610286078889e-01,1.369633221911546912e-02,9.873884610286078889e-01,1.369633221911546912e-02,9.873884610286078889e-01,1.369633221911546912e-02
9.899300014688359184e-01,1.338818501702819692e-02,9.899300014688359184e-01,1.338818501702819692e-02,9.899300014688359184e-01,1.338818501702819692e-02,9.899300014688359184e-01,1.338818501702819692e-02,9.899300014688359184e-01,1.338818501702819692e-02
9.924715419090639479e-01,1.313237860763946489e-02,9.924715419090639479e-01,1.313237860763946489e-02,9.924715419090639479e-01,1.313237860763946489e-02,9.924715419090639479e-01,1.313237860763946489e-02,9.924715419090639479e-01,1.313237860763946489e-02
9.950130823492919774e-01,1.277705097269547785e-02,9.950130823492919774e-01,1.277705097269547785e-02,9.950130823492919774e-01,1.277705097269547785e-02,9.950130823492919774e-01,1.277705097269547785e-02,9.950130823492919774e-01,1.277705097269547785e-02
9.975546227895201179e-01,1.253820003136477124e-02,9.975546227895201179e-01,1.253820003136477124e-02,9.975546227895201179e-01,1.253820003136477124e-02,9.975546227895201179e-01,1.253820003136477124e-02,9.975546227895201179e-01,1.253820003136477124e-02
1.000096163229748258e+00,1.217255167673365716e-02,1.000096163229748258e+00,1.217255167673365716e-02,1.000096163229748258e+00,1.217255167673365716e-02,1.000096163229748258e+00,1.217255167673365716e-02,1.000096163229748258e+00,1.217255167673365716e-02
1.002637703669976288e+00,1.201184332731994320e-02,1.002637703669976288e+00,1.201184332731994320e-02,1.002637703669976288e+00,1.201184332731994320e-02,1.002637703669976288e+00,1.201184332731994320e-02,1.002637703669976288e+00,1.201184332731994320e-02
