# time,average_velocity_axis_0_t_inf,95CLI,vs,filterlength,surftimeconst
9.997999999999999332e+00,3.452735125150029893e-01,4.322486003884049716e-02,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,7.082781790733148064e-01,7.044833007832124183e-02,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,3.591494377000399862e-01,4.187940233268903217e-02,4.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,3.471987670971694584e-01,3.594827149798146548e-02,4.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,6.806478358171634824e-01,7.619219873230671791e-02,8.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,6.394593684361873365e-01,7.635296338036590136e-02,8.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,6.139050450715143326e-01,7.980176327888152676e-02,8.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,6.047963467693540096e-01,7.054649245858624074e-02,8.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,3.699506866216993872e-01,4.010336156099493510e-02,4.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,5.837224398004601245e-01,8.875524701892334445e-02,8.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,5.902629494648929942e-01,8.938218564454356030e-02,8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,2.829519900073764749e-01,3.722929669868189906e-02,4.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,3.719404138640228230e-01,3.783674418775642007e-02,4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,3.296126369805211231e-01,3.911134449856866480e-02,4.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,6.104351667208441912e-01,8.461597943212299799e-02,8.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,4.585963692738547759e-01,7.274023075982230524e-02,8.000000000000000000e+00,8.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,3.515870646785607123e-01,3.666333100515784676e-02,4.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,6.168720072139427524e-01,7.759530185185567475e-02,8.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,3.403308177260452316e-01,4.009777268680170259e-02,4.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,3.090380302623024766e-01,3.616313254023822282e-02,4.000000000000000000e+00,8.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,3.672846248937287617e-01,3.910193303204492071e-02,4.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,6.404339821089218843e-01,7.593209003967082982e-02,8.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00
