# angular_frequency,average_fft_tr(J^2),95CLI
1.687248883278163021e+02,1.519986319208020742e+00,9.648969149404780510e-02
1.693544634955956951e+02,1.503626599083102588e+00,9.663627518362591373e-02
1.699840386633750882e+02,1.517185228689839072e+00,9.610810092774856039e-02
1.706136138311545096e+02,1.488141183776823029e+00,9.157782817360039795e-02
1.712431889989338742e+02,1.465811133538708066e+00,9.024210553789188682e-02
1.718727641667132673e+02,1.454009087366078035e+00,8.718300371272630356e-02
1.725023393344926603e+02,1.450470681625618985e+00,8.954559031045188078e-02
1.731319145022720534e+02,1.430958643132035135e+00,8.875082533683660568e-02
1.737614896700514748e+02,1.421554783239384001e+00,8.546766025475555084e-02
1.743910648378308679e+02,1.385531794028300512e+00,8.084120121083657184e-02
1.750206400056102325e+02,1.368343613877179177e+00,7.936491961464725575e-02
1.756502151733896255e+02,1.380205393722132357e+00,8.197641673177946675e-02
1.762797903411690186e+02,1.368347586376761571e+00,8.267215164661659288e-02
1.769093655089484400e+02,1.341933257778583855e+00,7.787195005678430870e-02
1.775389406767278331e+02,1.331441075454068645e+00,7.590916626556423741e-02
1.781685158445072261e+02,1.327522337734012625e+00,7.605070221729026692e-02
1.787980910122865907e+02,1.313833756943523889e+00,7.968542585829095637e-02
1.794276661800659838e+02,1.320066916544790248e+00,8.225106644123965360e-02
1.800572413478454052e+02,1.291506746277792050e+00,7.908225941397509229e-02
1.806868165156247983e+02,1.282069873598231435e+00,7.756099407832746373e-02
1.813163916834041913e+02,1.294863795994734001e+00,7.940657517269274213e-02
1.819459668511836128e+02,1.269645816878400835e+00,8.120442029216672075e-02
1.825755420189629774e+02,1.266893557803717485e+00,7.983977334919523106e-02
1.832051171867423704e+02,1.249743229930297739e+00,7.623305235442011385e-02
1.838346923545217635e+02,1.225168858064624056e+00,7.445057957868117526e-02
1.844642675223011565e+02,1.218700249549385939e+00,7.755989148154300572e-02
1.850938426900805780e+02,1.224082570196760367e+00,8.092876556705126678e-02
1.857234178578599710e+02,1.215260467178542303e+00,7.655732894006184175e-02
1.863529930256393357e+02,1.210623171714308777e+00,7.513012929926284056e-02
1.869825681934187287e+02,1.198134061768592495e+00,7.680373853201855061e-02
1.876121433611981217e+02,1.193081350101506510e+00,8.075543268661544705e-02
1.882417185289775432e+02,1.195199855193395111e+00,8.138258368751835614e-02
1.888712936967569362e+02,1.188436815780391065e+00,7.907352942548617758e-02
1.895008688645363293e+02,1.172068001169391582e+00,7.755090181818263817e-02
1.901304440323156939e+02,1.171048514812941921e+00,8.170086851986077536e-02
1.907600192000950869e+02,1.166571510572882886e+00,8.540979238215802571e-02
1.913895943678745084e+02,1.154906481441076549e+00,8.376395262567898348e-02
1.920191695356539014e+02,1.145250047202956756e+00,8.224388648025224291e-02
1.926487447034332945e+02,1.125666400136686507e+00,8.206910197116276673e-02
1.932783198712127160e+02,1.134579128588347308e+00,8.350913269948936901e-02
1.939078950389920806e+02,1.128161046844409432e+00,8.408159193460147673e-02
1.945374702067714736e+02,1.110657207769400801e+00,8.359264086990289555e-02
1.951670453745508667e+02,1.109978790688434858e+00,8.365475541878759913e-02
1.957966205423302597e+02,1.111054451463969084e+00,8.431814673845786090e-02
1.964261957101096812e+02,1.099163602376270532e+00,8.761261704354431079e-02
1.970557708778890742e+02,1.094045593205761779e+00,8.769832634769987589e-02
1.976853460456684388e+02,1.085393831995342229e+00,8.604643038629705698e-02
1.983149212134478319e+02,1.076900581884746577e+00,8.493940326237110761e-02
1.989444963812272249e+02,1.069056126816012586e+00,8.346534669779370752e-02
1.995740715490066464e+02,1.069318302115479069e+00,8.297659688070511963e-02
2.002036467167860394e+02,1.054500302184343541e+00,8.218699883086405533e-02
2.008332218845654324e+02,1.047635818619460091e+00,7.928273267825546033e-02
2.014627970523447971e+02,1.043930219022707329e+00,7.945728456214344593e-02
2.020923722201241901e+02,1.044234511501930029e+00,8.051975653839650582e-02
2.027219473879036116e+02,1.043779737185894341e+00,8.128389947060996046e-02
2.033515225556830046e+02,1.030207137522529681e+00,8.023391813997486632e-02
