# average_velocity_axis_0_t_inf,95CLI,us/u_eta,surftimeconst/t_eta,proportion,omegamax * t_eta,reacttime/t_eta
1.130680988225665623e-01,1.621305656916818827e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02
9.386247503488409638e-02,1.649398867916654354e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000278e-02
1.097773625576929091e-01,1.622462070843358820e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000278e-02
9.970263552080778358e-02,1.646583665226736271e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000278e-02
4.683636756125797440e-02,1.665448651786361964e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000000e-01
7.057023679005153260e-02,1.648793345020579254e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000000e-01
7.710397383790021375e-02,1.642864754527146795e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01
1.034195082255504883e-01,1.642592202893439560e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.094607806893630464e-01,1.646226791449267868e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
9.330553133050173420e-02,1.658505345811356682e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
1.046378343935920607e-01,1.633837477194945847e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01
3.399313639003465753e-02,1.634340214218104465e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,1.000000000000000000e+00
5.719073312626503369e-02,1.631907219766593614e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000000e+00
8.217778085515824171e-02,1.661738413512825821e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00
