# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta
3.848107125274725648e-01,2.972078447839641285e-02,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
3.816947430769230265e-01,3.086452154493836419e-02,4.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
3.807573239560440026e-01,2.906286106880284423e-02,4.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
3.655212604395604581e-01,2.971474423306940879e-02,4.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
3.398860369230768952e-01,2.997258997538270950e-02,4.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
3.431678606593406844e-01,2.941467370624198732e-02,4.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
3.095208002197802899e-01,3.092992919407333563e-02,4.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.968084945054945134e-01,2.807399070523759754e-02,4.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.244439514285714421e-01,3.052584619187410919e-02,4.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.558088692307692424e-01,2.929044689135927235e-02,4.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.307649184615384708e-01,2.960629053846757994e-02,4.500000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.454337230769230827e-01,2.910495432409068023e-02,4.500000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
4.218889909890109480e-01,2.870993878084553141e-02,4.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
4.308482973626374113e-01,3.117753422010382733e-02,4.500000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
4.228975151648351472e-01,3.207157123459592613e-02,4.500000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
3.816189593406594249e-01,3.021298771077617420e-02,4.500000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
3.450446443956043940e-01,2.702064089531402979e-02,4.500000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
3.387446098901099045e-01,3.126353578984290837e-02,4.500000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.202382164835165246e-01,3.034796436326234192e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.123399224175823830e-01,2.952551513683866410e-02,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
